,Name,Date,Year of Birth
1568,Mike Niles,3/31,1955
1569,J.R. Reid,3/31,1968
1570,Steve Smith,3/31,1969
1571,David Vanterpool,3/31,1973
1572,James Wiseman,3/31,2001
1573,Kristine Anigwe,3/31,1997
1574,Lucienne Berthieu,3/31,1978
1575,Ukari Figgs,3/31,1977
1576,Joy Holmes-Harris,3/31,1969
1577,Gustavo Ayón,4/1,1985
1578,Ken Bannister,4/1,1960
1579,Tim Bassett,4/1,1951
1580,Bobby Cook,4/1,1923
1581,Erik Daniels,4/1,1982
1582,Kevin Duckworth,4/1,1964
1583,Antonis Fotsis,4/1,1981
1584,Justin Hamilton,4/1,1990
1585,Mark Jackson,4/1,1965
1586,Brook Lopez,4/1,1988
1587,Robin Lopez,4/1,1988
1588,Mitchell Robinson,4/1,1998
1589,Etan Thomas,4/1,1978
1590,Norm Van Lier,4/1,1947
1591,James Wilkes,4/1,1958
1592,Gene Williams,4/1,1947
1593,Shay Doron,4/1,1985
1594,Tangela Smith,4/1,1977
1595,Larry Bergh,4/2,1945
1596,Andris Biedriņš,4/2,1986
1597,Sidy Cissoko,4/2,2004
1598,Bob Davis,4/2,1950
1599,Larry Drew,4/2,1958
1600,Nate Huffman,4/2,1975
1601,Randy Livingston,4/2,1975
1602,Seth Lundy,4/2,2000
1603,Phil Martin,4/2,1928
1604,Jim McDaniels,4/2,1948
1605,Isaiah Morris,4/2,1969
1606,Chris Robinson,4/2,1974
1607,Pascal Siakam,4/2,1994
1608,Tamar Slay,4/2,1980
1609,Erlana Larkins,4/2,1986
1610,Tammi Reiss,4/2,1970
1611,Marcus Brown,4/3,1974
1612,Keith Closs,4/3,1976
1613,Pervis Ellison,4/3,1967
1614,Phil Farbman,4/3,1924
1615,Thomas Hamilton,4/3,1975
1616,Charles Jones,4/3,1957
1617,Earl Lloyd,4/3,1928
1618,Frank Mason III,4/3,1994
1619,McCoy McLemore,4/3,1942
1620,Michael Olowokandi,4/3,1975
1621,Roger Schurig,4/3,1942
1622,LaBradford Smith,4/3,1969
1623,DeShawn Stevenson,4/3,1981
1624,Hollis Thompson,4/3,1991
1625,Logan Vander Velden,4/3,1971
1626,Jarred Vanderbilt,4/3,1999
1627,Derrick Walton,4/3,1995
1628,John Windsor,4/3,1940
1629,Armintie Herrington,4/3,1985
1630,DeTrina White,4/3,1980
1631,Bill Bridges,4/4,1939
1632,Rudy Fernández,4/4,1985
1633,Ben Gordon,4/4,1983
1634,Frank Kaminsky,4/4,1993
1635,Rich King,4/4,1969
1636,Bob Lackey,4/4,1949
1637,Sean May,4/4,1984
1638,Stanislav Medvedenko,4/4,1979
1639,Larry Miller,4/4,1946
1640,George Senesky,4/4,1922
1641,Daniel Theis,4/4,1992
1642,Hal Tidrick,4/4,1915
1643,Anthony Tucker,4/4,1969
1644,Alison Bales,4/4,1985
1645,Kisha Ford,4/4,1975
1646,Cisti Greenwalt,4/4,1983
1647,Lynetta Kizer,4/4,1990
1648,Steve Bardo,4/5,1968
1649,Matt Bonner,4/5,1980
1650,Mike Champion,4/5,1964
1651,Vince Edwards,4/5,1996
1652,Al Fleming,4/5,1954
1653,Justin Holiday,4/5,1989
1654,Stephen Jackson,4/5,1978
1655,Mario Kasun,4/5,1980
1656,Craig Raymond,4/5,1945
1657,Pape Sy,4/5,1988
1658,Skip Thoren,4/5,1943
1659,Shammond Williams,4/5,1975
1660,AD Durr,4/5,1997
1661,Naz Hillmon,4/5,2000
1662,Bison Dele,4/6,1969
1663,Spencer Dinwiddie,4/6,1993
1664,Shelton Jones,4/6,1966
1665,Louis King,4/6,1999
1666,Kira Lewis Jr.,4/6,2001
1667,Oliver Miller,4/6,1970
1668,Luis Montero,4/6,1993
1669,Micah Potter,4/6,1998
1670,John Shumate,4/6,1952
1671,Dickey Simpkins,4/6,1972
1672,Allison Hightower,4/6,1988
1673,Levys Torres,4/6,1978
1674,Natalia Vodopyanova,4/6,1981
1675,Kamiko Williams,4/6,1991
1676,Zaid Abdul-Aziz,4/7,1946
1677,Thurl Bailey,4/7,1961
1678,Art Burris,4/7,1924
1679,Javin DeLaurier,4/7,1998
1680,Jim Fox,4/7,1943
1681,Bo Lamar,4/7,1951
1682,Tony Mitchell,4/7,1992
1683,Petey Rosenberg,4/7,1918
1684,Luke Zeller,4/7,1987
1685,Alaina Coates,4/7,1995
1686,Paris Kea,4/7,1996
1687,Anita Maxwell,4/7,1974
1688,Mila Nikolich,4/7,1971
1689,Paul Gordon,4/8,1927
1690,Tommie Green,4/8,1956
1691,John Havlicek,4/8,1940
1692,Larry Mikan,4/8,1948
1693,J.J. O'Brien,4/8,1992
1694,Ralph O'Brien,4/8,1928
1695,Cedi Osman,4/8,1995
1696,Terry Porter,4/8,1963
1697,Jared Reiner,4/8,1982
1698,Dario Šarić,4/8,1994
1699,Jimmy Walker,4/8,1944
1700,Paul Arizin,4/9,1928
1701,Saddiq Bey,4/9,1999
1702,Allen Crabbe,4/9,1992
1703,Bruce Douglas,4/9,1964
1704,Jemerrio Jones,4/9,1995
1705,Ryan Kelly,4/9,1991
1706,Bo Kimble,4/9,1966
1707,Stan Love,4/9,1949
1708,Tyler Lydon,4/9,1996
1709,Kyle Macy,4/9,1957
1710,John McConathy,4/9,1930
1711,Rod McDonald,4/9,1945
1712,Jordan McLaughlin,4/9,1996
1713,Nathan Mensah,4/9,1998
1714,Jack Nichols,4/9,1926
1715,Jimmy O'Brien,4/9,1950
1716,Željko Rebrača,4/9,1972
1717,Don Savage,4/9,1928
1718,Jeff Turner,4/9,1962
1719,Jasmine Hassell,4/9,1991
1720,Val Whiting-Raymond,4/9,1972
1721,Kiana Williams,4/9,1999
1722,Julie Wojta,4/9,1989
1723,Vlatko Čančar,4/10,1997
1724,Chuck Connors,4/10,1921
1725,Ivan Johnson,4/10,1984
1726,Mark Jones,4/10,1961
1727,Reggie Lacefield,4/10,1945
1728,Nerlens Noel,4/10,1994
1729,Kenny Satterfield,4/10,1981
1730,Terry Teagle,4/10,1960
1731,Juan Toscano-Anderson,4/10,1993
1732,Royce White,4/10,1991
1733,Val Berezhynska,4/10,1986
1734,Karen Booker,4/10,1965
1735,Charde Houston,4/10,1986
1736,Brooke Queenan,4/10,1984
1737,Jennifer Smith,4/10,1982
1738,Luis Flores,4/11,1981
1739,Tremaine Fowlkes,4/11,1976
1740,Ben Kelso,4/11,1949
1741,Andrew Levane,4/11,1920
1742,Whitey Martin,4/11,1939
1743,Med Park,4/11,1933
1744,Micheal Ray Richardson,4/11,1955
1745,Ramon Sessions,4/11,1986
1746,Dennis Stewart,4/11,1947
1747,Larry Sykes,4/11,1973
1748,Janeth Arcain,4/11,1969
1749,Laura Harper,4/11,1986
1750,Nicole Levesque,4/11,1972
1751,Tamara Moore,4/11,1980
1752,Tierra Ruffin-Pratt,4/11,1991
1753,Jose Alvarado,4/12,1998
1754,Larry Cannon,4/12,1947
1755,Jack Cooley,4/12,1991
1756,Frank Gates,4/12,1920
1757,Ron Harper Jr.,4/12,2000
1758,Brad Miller,4/12,1976
1759,Dave Scholz,4/12,1948
1760,Jim Smith,4/12,1958
1761,Steven Smith,4/12,1983
1762,Tyshawn Taylor,4/12,1990
1763,David Thirdkill,4/12,1960
1764,Stanley Umude,4/12,1999
1765,Marcie Alberts,4/12,1975
1766,Nikolina Milic,4/12,1994
1767,Marlous Nieuwveen,4/12,1980
1768,Kristen O'Neill,4/12,1983
1769,Alyssa Thomas,4/12,1992
1770,Stephanie Watts,4/12,1997
1771,Tamika Williams,4/12,1980
1772,Jim Barnes,4/13,1941
1773,Dana Barros,4/13,1967
1774,Isaiah Briscoe,4/13,1996
1775,Corey Crowder,4/13,1969
1776,Baron Davis,4/13,1979
1777,Dick Farley,4/13,1932
1778,Rollen Hans,4/13,1931
1779,Darrun Hilliard,4/13,1993
1780,Tony Kappen,4/13,1919
1781,Aaron Miles,4/13,1983
1782,Leo Mogus,4/13,1921
1783,Dermie O'Connell,4/13,1928
1784,Bo Outlaw,4/13,1971
1785,Alec Peters,4/13,1995
1786,Quentin Richardson,4/13,1980
1787,Sedric Toney,4/13,1962
1788,Nick Vanos,4/13,1963
1789,Marvin Webster,4/13,1952
1790,Tony Wroten,4/13,1993
1791,Phil Zevenbergen,4/13,1964
1792,Courtney Coleman,4/13,1981
1793,Art Collins,4/14,1954
1794,Chance Comanche,4/14,1996
1795,Ron Crevier,4/14,1958
1796,Larry Friend,4/14,1935
1797,Mark Macon,4/14,1969
1798,Stan Stutz,4/14,1920
1799,Nikoloz Tskitishvili,4/14,1983
1800,Jalen Williams,4/14,2001
1801,Morenike Atunrase,4/14,1986
1802,Quianna Chaney,4/14,1986
1803,Cynthia Cooper,4/14,1963
1804,Anna DeForge,4/14,1976
1805,Kayla Pedersen,4/14,1989
1806,Sandra Van Embricqs,4/14,1968
1807,Shaquala Williams,4/14,1980
1808,Rodney Carney,4/15,1984
1809,Michael Cooper,4/15,1956
1810,Anthony Grundy,4/15,1979
1811,Travis Hansen,4/15,1978
1812,Walt Hazzard,4/15,1942
1813,Raül López,4/15,1980
1814,Howie McCarty,4/15,1919
1815,Sergei Monia,4/15,1983
1816,Filip Petrušev,4/15,2000
1817,David Pope,4/15,1962
1818,Marlon Redmond,4/15,1955
1819,Anthony Roberts,4/15,1955
1820,Otto Schnellbacher,4/15,1923
1821,Mike Smith,4/15,1976
1822,Cliff Williams,4/15,1945
1823,Razija Brcaninovic,4/15,1967
1824,Feyonda Fitzgerald,4/15,1995
1825,Vickie Johnson,4/15,1972
1826,Shay Murphy,4/15,1985
1827,Kareem Abdul-Jabbar,4/16,1947
1828,Cedric Ball,4/16,1968
1829,John Block,4/16,1944
1830,Wendell Carter Jr.,4/16,1999
1831,Keon Clark,4/16,1975
1832,Luol Deng,4/16,1985
1833,Boris Diaw,4/16,1982
1834,Isaac Fontaine,4/16,1975
1835,Dave Gambee,4/16,1937
1836,Reggie Jackson,4/16,1990
1837,Rodney Monroe,4/16,1968
1838,Russ Schoene,4/16,1960
1839,Robert Whaley,4/16,1982
1840,Walt Williams,4/16,1970
1841,Jessica Brungo,4/16,1982
1842,Te'a Cooper,4/16,1997
1843,Marques Bolden,4/17,1998
1844,Christian Braun,4/17,2001
1845,Nic Claxton,4/17,1999
1846,Andy Duncan,4/17,1922
1847,Cleanthony Early,4/17,1991
1848,Bato Govedarica,4/17,1928
1849,Neil Johnson,4/17,1943
1850,Leo Katkaveck,4/17,1923
1851,Wayne Molis,4/17,1943
1852,Juwan Morgan,4/17,1997
1853,Geoff Petrie,4/17,1948
1854,Kevin Porter,4/17,1950
1855,Theo Ratliff,4/17,1973
1856,Frank Russell,4/17,1949
1857,Matt Ryan,4/17,1997
1858,Ed Searcy,4/17,1952
1859,Dan Sparks,4/17,1945
1860,Horace Walker,4/17,1937
1861,C.J. Watson,4/17,1984
1862,Megan Huff,4/17,1996
1863,Maylana Martin,4/17,1978
1864,Kamiah Smalls,4/17,1998
1865,Bojan Bogdanović,4/18,1989
1866,Michael Bradley,4/18,1979
1867,Tyrone Britt,4/18,1944
1868,Sid Catlett,4/18,1948
1869,Jim Creighton,4/18,1950
1870,Jimmy Dawson,4/18,1945
1871,Sundiata Gaines,4/18,1986
1872,Taylor Griffin,4/18,1986
1873,Gerald Madkins,4/18,1969
1874,Eric McWilliams,4/18,1950
1875,George Mearns,4/18,1922
1876,Don Ohl,4/18,1936
1877,Don Otten,4/18,1921
1878,Ken Rohloff,4/18,1939
1879,Scott Sims,4/18,1955
1880,Nick Smith Jr.,4/18,2004
1881,Awvee Storey,4/18,1977
1882,Julian Strawther,4/18,2002
1883,Caleb Swanigan,4/18,1997
1884,Octavia Blue,4/18,1976
1885,K.B. Sharp,4/18,1981
1886,Christina Wirth,4/18,1987
1887,Elijah Bryant,4/19,1995
1888,Luguentz Dort,4/19,1999
1889,Keith Erickson,4/19,1944
1890,Mike Evans,4/19,1955
1891,Jack Foley,4/19,1939
1892,Randolph Keys,4/19,1966
1893,Dan McClintock,4/19,1977
1894,Kelly Olynyk,4/19,1991
1895,Scott Padgett,4/19,1976
1896,Gabe Pruitt,4/19,1986
1897,Eddie Robinson,4/19,1976
1898,Wayne Robinson,4/19,1958
1899,John Schweitz,4/19,1960
1900,Russ Smith,4/19,1991
1901,Bria Holmes,4/19,1994
1902,Jennifer O'Neill,4/19,1990
1903,Candace Parker,4/19,1986
1904,Ochai Agbaji,4/20,2000
1905,Ralph Drollinger,4/20,1954
1906,Hank Finkel,4/20,1942
1907,Danny Granger,4/20,1983
1908,Allan Houston,4/20,1971
1909,Matthew Hurt,4/20,2000
1910,Ken Murray,4/20,1928
1911,Lamond Murray,4/20,1973
1912,Morgan Bertsch,4/20,1997
1913,Lauren Cox,4/20,1998
1914,Keitha Dickerson,4/20,1978
1915,Angel Robinson,4/20,1987
1916,Jarrett Allen,4/21,1998
1917,Ricky Blanton,4/21,1966
1918,Rich Dumas,4/21,1944
1919,Gary Grant,4/21,1965
1920,Glenn Hansen,4/21,1952
1921,Tracy Jackson,4/21,1959
1922,Chuck Mencel,4/21,1933
1923,Dave Meyers,4/21,1953
1924,Mark Olberding,4/21,1956
1925,Gerald Paddio,4/21,1965
1926,Rodney Stuckey,4/21,1986
1927,Trooper Washington,4/21,1944
1928,Alexis Gray-Lawson,4/21,1987
1929,Tia Jackson,4/21,1972
1930,Jennie Simms,4/21,1994
1931,Tyresa Smith,4/21,1985
1932,DeJuan Blair,4/22,1989
1933,Bimbo Coles,4/22,1968
1934,Dante Cunningham,4/22,1987
1935,Red Davis,4/22,1932
1936,Bill Garnett,4/22,1960
1937,Harry Giles,4/22,1998
1938,Spencer Haywood,4/22,1949
1939,Dennis Hopson,4/22,1965
1940,Alize Johnson,4/22,1996
1941,Shelvin Mack,4/22,1990
1942,Bob McCann,4/22,1964
1943,Darren Morningstar,4/22,1969
1944,Marty Passaglia,4/22,1919
1945,Duncan Robinson,4/22,1994
1946,Charles Shackleford,4/22,1966
1947,Phil Smith,4/22,1952
1948,Don Washington,4/22,1952
1949,Stacy Clinesmith,4/22,1978
1950,Tamicha Jackson,4/22,1978
1951,Peter Aluma,4/23,1973
1952,John Bagley,4/23,1960
1953,Carl Bailey,4/23,1958
1954,Gail Goodrich,4/23,1943
1955,Mike Novak,4/23,1915
1956,Ron Rowan,4/23,1962
1957,Bella Alarie,4/23,1998
1958,Olga Firsova,4/23,1976
1959,Ernie Grunfeld,4/24,1955
1960,Stan Kimbrough,4/24,1966
1961,Dino Radja,4/24,1967
1962,Eric Snow,4/24,1973
1963,Lance Thomas,4/24,1988
1964,Jan Veselý,4/24,1990
1965,Corey Williams,4/24,1970
1966,Brittany Hrynko,4/24,1993
1967,Adrienne Shuler,4/24,1969
1968,Mark Bryant,4/25,1965
1969,Derrick Byars,4/25,1984
1970,Dave Corzine,4/25,1956
1971,Tim Duncan,4/25,1976
1972,Khalid El-Amin,4/25,1979
1973,Johnny High,4/25,1957
1974,Johnny McCarthy,4/25,1934
1975,Grady O'Malley,4/25,1948
1976,Michael Stewart,4/25,1975
1977,John Tschogl,4/25,1950
1978,Donald Whiteside,4/25,1969
1979,Erin Alexander,4/25,1975
1980,Hamchetou Maiga-Ba,4/25,1978
1981,Emmeline Ndongue,4/25,1983
1982,Satou Sabally,4/25,1998
1983,Bob Boozer,4/26,1937
1984,Bert Cook,4/26,1929
1985,Mark Davis,4/26,1973
1986,Tellis Frank,4/26,1965
1987,Harry Gallatin,4/26,1927
1988,Chandler Hutchison,4/26,1996
1989,Butch Joyner,4/26,1945
1990,Jim Marsh,4/26,1946
1991,Ivan McFarlin,4/26,1982
1992,Dick Miller,4/26,1958
1993,Red Morrison,4/26,1932
1994,Bill Smith,4/26,1939
1995,Moritz Wagner,4/26,1997
1996,Bill Wennington,4/26,1963
1997,Delon Wright,4/26,1992
1998,Tiffany Jackson-Jones,4/26,1985
1999,Tiffany Woosley,4/26,1973
2000,Courtney Alexander,4/27,1977
2001,Al Beard,4/27,1942
2002,Dexter Boney,4/27,1970
2003,Mitch Creek,4/27,1992
2004,Jaime Echenique,4/27,1997
2005,George Gervin,4/27,1952
2006,Zendon Hamilton,4/27,1975
2007,Bridgette Gordon,4/27,1967
2008,Mikiko Hagiwara,4/27,1970
2009,Pauline Jordan,4/27,1968
2010,Daequan Cook,4/28,1987
2011,Ed Earle,4/28,1927
2012,LeRon Ellis,4/28,1969
2013,John Fairchild,4/28,1943
2014,John Greig,4/28,1961
2015,Spencer Hawes,4/28,1988
2016,Paul Hogue,4/28,1940
2017,Josh Howard,4/28,1980
2018,Chris Kaman,4/28,1982
2019,Martin Lewis,4/28,1975
2020,KZ Okpala,4/28,1999
2021,Flynn Robinson,4/28,1941
2022,James Southerland,4/28,1990
2023,Hank Whitney,4/28,1939
2024,Hank Williams,4/28,1952
2025,Margo Dydek,4/28,1974
2026,Adaora Elonu,4/28,1990
2027,Ruthy Hebard,4/28,1998
2028,MerleLynn Lange-Harris,4/28,1969
2029,Jelena Milovanovic,4/28,1989
2030,Franthea Price,4/28,1968
2031,Jeff Ayres,4/29,1987
2032,Jake Ford,4/29,1945
2033,Jason Hart,4/29,1978
2034,Jordan Hawkins,4/29,2002
2035,Chris Johnson,4/29,1990
2036,David Lee,4/29,1983
2037,Xavier Rathan-Mayes,4/29,1994
2038,God Shammgod,4/29,1976
2039,Valeriane Ayayi,4/29,1994
2040,Nikki Blue,4/29,1984
2041,Rhyne Howard,4/29,2000
2042,Brandon Bass,4/30,1985
2043,Marty Byrnes,4/30,1956
2044,Ron Cavenall,4/30,1959
2045,Bob Knight,4/30,1929
2046,T.J. Leaf,4/30,1997
2047,Brandon Paul,4/30,1991
2048,Quinton Ross,4/30,1981
2049,Luis Scola,4/30,1980
2050,Paul Scranton,4/30,1944
2051,Isiah Thomas,4/30,1961
2052,B.J. Tyler,4/30,1971
2053,Rick Weitzman,4/30,1946
2054,Seimone Augustus,4/30,1984
2055,Yelena Leuchanka,4/30,1983
2056,Brooke Smith,4/30,1984
2057,Morgan Tuck,4/30,1994
2058,Polina Tzekova,4/30,1968
2059,Frankie Brian,5/1,1923
2060,Barry Clemens,5/1,1943
2061,Austin Croshere,5/1,1975
2062,Ron Davis,5/1,1954
2063,Jerome Dyson,5/1,1987
2064,Chet Holmgren,5/1,2002
2065,Amir Johnson,5/1,1987
2066,Eddie Johnson,5/1,1959
2067,Rock Lee,5/1,1955
2068,George Lehmann,5/1,1942
2069,Julius Nwosu,5/1,1971
2070,Barry Orms,5/1,1946
2071,Billy Owens,5/1,1969
2072,Jim Owens,5/1,1950
2073,Brandon Sampson,5/1,1997
2074,Craig Shelton,5/1,1957
2075,Rhonda Banchero,5/1,1973
2076,Emily Engstler,5/1,2000
2077,Cayla George,5/1,1989
2078,Tyasha Harris,5/1,1998
2079,Brian Cardinal,5/2,1977
2080,Melvin Ely,5/2,1978
2081,Paul George,5/2,1990
2082,Roy Hinson,5/2,1961
2083,John Morrison,5/2,1945
2084,Troy Murphy,5/2,1980
2085,Thabo Sefolosha,5/2,1984
2086,Red Stroud,5/2,1941
2087,Leonard Taylor,5/2,1966
2088,Jim Ware,5/2,1944
2089,Maalik Wayns,5/2,1991
2090,Jamaal Wilkes,5/2,1953
2091,Nate Williams,5/2,1950
2092,Monique Billings,5/2,1996
2093,Layshia Clarendon,5/2,1991
2094,Jeanette Pohlen-Mavunga,5/2,1989
2095,Charmin Smith,5/2,1975
2096,Erica Wheeler,5/2,1991
2097,Jack Dwan,5/3,1921
2098,Joe Ellis,5/3,1944
2099,Gar Heard,5/3,1948
2100,Jeff Hornacek,5/3,1963
2101,Toby Knight,5/3,1955
2102,Tyronn Lue,5/3,1977
2103,Nat Militzok,5/3,1923
2104,Kelvin Ransey,5/3,1958
2105,Domantas Sabonis,5/3,1996
2106,Kellie Jolly Harper,5/3,1977
2107,Chasity Melvin,5/3,1976
2108,Jaylen Adams,5/4,1996
2109,Butch Beard,5/4,1947
2110,Derrick Caracter,5/4,1988
2111,Dorian Finney-Smith,5/4,1993
2112,Reggie Harding,5/4,1942
2113,George Hill,5/4,1986
2114,John Hummer,5/4,1948
2115,Frank Jackson,5/4,1998
2116,Johnathan Motley,5/4,1995
2117,Victor Oladipo,5/4,1992
2118,Kevin Porter Jr.,5/4,2000
2119,Kyle Singler,5/4,1988
2120,Jon Teske,5/4,1997
2121,Shoni Schimmel,5/4,1992
2122,Dawn Staley,5/4,1970
2123,Bill Buntin,5/5,1942
2124,LaPhonso Ellis,5/5,1970
2125,Vítor Luiz Faverani,5/5,1988
2126,Herm Gilliam,5/5,1946
2127,Orlando Graham,5/5,1965
2128,Isaiah Hartenstein,5/5,1998
2129,Paul Hoffman,5/5,1925
2130,DerMarr Johnson,5/5,1980
2131,Roy McPipe,5/5,1950
2132,Harold Miner,5/5,1971
2133,Lowes Moore,5/5,1957
2134,Stan Patrick,5/5,1922
2135,Moe Radovich,5/5,1929
2136,Mike Silliman,5/5,1944
2137,Larry Steele,5/5,1949
2138,P.J. Tucker,5/5,1985
2139,Rob Williams,5/5,1961
2140,Rushia Brown,5/5,1972
2141,Sheri Sam,5/5,1974
2142,Olympia Scott,5/5,1976
2143,Tom Abernethy,5/6,1954
2144,Alexis Ajinça,5/6,1988
2145,Ryan Anderson,5/6,1988
2146,Sam Dekker,5/6,1994
2147,Damyean Dotson,5/6,1994
2148,Goran Dragić,5/6,1986
2149,Alex Fudge,5/6,2003
2150,Aaron Jackson,5/6,1986
2151,Myron Jackson,5/6,1964
2152,Oliver Lafayette,5/6,1984
2153,Chris Paul,5/6,1985
2154,Al Salvadori,5/6,1945
2155,Jonas Valančiūnas,5/6,1992
2156,Ratko Varda,5/6,1979
2157,Leroy Wright,5/6,1938
2158,Miranda Ayim,5/6,1988
2159,Tai Dillard,5/6,1981
2160,Anriel Howard,5/6,1997
2161,Heather Owen,5/6,1976
2162,Calvin Booth,5/7,1976
2163,Tony Campbell,5/7,1962
2164,Jerry Harkness,5/7,1940
2165,Amile Jefferson,5/7,1993
2166,Tyler Johnson,5/7,1992
2167,Yaroslav Korolev,5/7,1987
2168,Renaldo Major,5/7,1982
2169,Shawn Marion,5/7,1978
2170,Marko Milič,5/7,1977
2171,Louis Orr,5/7,1958
2172,Yves Pons,5/7,1999
2173,Ben Poquette,5/7,1955
2174,Mike Sanders,5/7,1960
2175,Bob Weiss,5/7,1942
2176,Eddie Lee Wilkins,5/7,1962
2177,Mike Wilks,5/7,1979
2178,Matee Ajavon,5/7,1986
2179,Katie Douglas,5/7,1979
2180,Jelena Dubljevic,5/7,1987
2181,Ewelina Kobryn,5/7,1982
2182,Kim Smith,5/7,1984
2183,Toumani Camara,5/8,2000
2184,Speedy Claxton,5/8,1978
2185,Mike D'Antoni,5/8,1951
2186,Keyon Dooling,5/8,1980
2187,Quentin Grimes,5/8,2000
2188,Dennis Hamilton,5/8,1944
2189,Sasha Kaun,5/8,1985
2190,Džanan Musa,5/8,1999
2191,Pepe Sánchez,5/8,1977
2192,Vladimir Stepania,5/8,1976
2193,Cole Swider,5/8,1999
2194,Garrett Temple,5/8,1986
2195,Khyri Thomas,5/8,1996
2196,Jacob Toppin,5/8,2000
2197,Kemba Walker,5/8,1990
2198,Keisha Anderson,5/8,1974
2199,Chucky Jeffery,5/8,1991
2200,Alexis Jones,5/8,1994
2201,Tynesha Lewis,5/8,1979
2202,Lloyd Batts,5/9,1951
2203,David Benoit,5/9,1968
2204,Nemanja Bjelica,5/9,1988
2205,Doug Christie,5/9,1970
2206,Yogi Ferrell,5/9,1993
2207,Erick Green,5/9,1991
2208,Jake Jones,5/9,1949
2209,Howard Komives,5/9,1941
2210,Timothé Luwawu-Cabarrot,5/9,1995
2211,Calvin Murphy,5/9,1948
2212,Chris Porter,5/9,1978
2213,Elmore Smith,5/9,1949
2214,Dragan Tarlać,5/9,1973
2215,Marcus Webb,5/9,1970
2216,George Wilson,5/9,1942
2217,Lindsay Whalen,5/9,1982
2218,Don Bielke,5/10,1932
2219,Wilson Chandler,5/10,1987
2220,Ken Corley,5/10,1920
2221,Samuel Dalembert,5/10,1981
2222,Jeff Dowtin,5/10,1997
2223,Tari Eason,5/10,2001
2224,Al Eberhard,5/10,1952
2225,Malachi Flynn,5/10,1998
2226,Rudy Hackett,5/10,1953
2227,Tyus Jones,5/10,1996
2228,Mike Maloy,5/10,1949
2229,Barry Parkhill,5/10,1951
2230,Danny Schayes,5/10,1959
2231,Rony Seikaly,5/10,1965
2232,Lamont Strothers,5/10,1968
2233,Jerome Williams,5/10,1973
2234,Greg Wittman,5/10,1947
2235,Danielle Robinson,5/10,1989
2236,Nykesha Sales,5/10,1976
2237,Karlie Samuelson,5/10,1995
2238,Nakia Sanford,5/10,1976
2239,Michele Van Gorp,5/10,1977
2240,Leo Barnhorst,5/11,1924
2241,Price Brookfield,5/11,1920
2242,Kendall Brown,5/11,2003
2243,Bob Christian,5/11,1946
2244,Maurice Harkless,5/11,1993
2245,Ollie Johnson,5/11,1949
2246,Ken Mayfield,5/11,1948
2247,Olumide Oyedeji,5/11,1981
2248,Jack Twyman,5/11,1934
2249,Crystal Dangerfield,5/11,1998
2250,Chelsea Dungee,5/11,1997
2251,Cornelia Gayden,5/11,1971
2252,Lauren Jackson,5/11,1981
2253,Courtney Williams,5/11,1994
2254,Kim Anderson,5/12,1955
2255,Mo Bamba,5/12,1998
2256,Keith Bogans,5/12,1980
2257,Malaki Branham,5/12,2003
2258,Andre Brown,5/12,1981
2259,Kevin Grevey,5/12,1953
2260,George Karl,5/12,1951
2261,Mouhamed Sene,5/12,1986
2262,Dmytro Skapintsev,5/12,1998
2263,Gene Tormohlen,5/12,1937
2264,Roko Ukić,5/12,1984
2265,Bob Williams,5/12,1931
2266,Justin Williams,5/12,1984
2267,Michelle Campbell,5/12,1984
2268,Mike Bibby,5/13,1978
2269,Chris Crawford,5/13,1975
2270,Dave Deutsch,5/13,1945
2271,Bill Gabor,5/13,1922
2272,Tony Harris,5/13,1967
2273,Trajan Langdon,5/13,1976
2274,Dean Meminger,5/13,1948
2275,Ben Moore,5/13,1995
2276,Peter John Ramos,5/13,1985
2277,Dennis Rodman,5/13,1961
2278,Jim Slaughter,5/13,1928
2279,Jabari Smith Jr.,5/13,2003
2280,Chris Washburn,5/13,1965
2281,Laurie Koehn,5/13,1982
2282,Emma Meesseman,5/13,1993
2283,Walter Berry,5/14,1964
2284,Vern Gardner,5/14,1925
2285,Eddie House,5/14,1978
2286,Voshon Lenard,5/14,1973
2287,Jon Leuer,5/14,1989
2288,Mark Minor,5/14,1950
2289,Pooh Richardson,5/14,1966
2290,Uroš Slokar,5/14,1983
2291,Jayne Appel-Marinelli,5/14,1988
2292,Alana Beard,5/14,1982
2293,Edwige Lawson-Wade,5/14,1979
2294,Pat Luckey,5/14,1975
2295,Valerie Still,5/14,1961
2296,Jurgita Streimikyte,5/14,1972
2297,Davellyn Whyte,5/14,1991
2298,George Adams,5/15,1949
2299,Cole Anthony,5/15,2000
2300,Gene Banks,5/15,1959
2301,Torraye Braggs,5/15,1976
2302,Greg Bunch,5/15,1956
2303,John Clawson,5/15,1944
2304,Joe Fabel,5/15,1917
2305,Hiram Fuller,5/15,1981
2306,Ersan İlyasova,5/15,1987
2307,Antonio Lang,5/15,1972
2308,Sam Merrill,5/15,1996
2309,Don Nelson,5/15,1940
2310,Jamal Sampson,5/15,1983
2311,Keith Tower,5/15,1970
2312,Virgil Vaughn,5/15,1918
2313,Freeman Williams,5/15,1956
2314,Nate Wolters,5/15,1991
2315,Endy Miyem,5/15,1988
2316,Jennifer Rizzotti,5/15,1974
2317,Charles Bradley,5/16,1959
2318,Terence Davis,5/16,1997
2319,Quincy Douby,5/16,1984
2320,Ed Gayda,5/16,1927
2321,Essie Hollis,5/16,1955
